,H_ratio,M_ratio,T_ratio
4341,0.515151515,0.454545455,0.03030303
5003,0.515151515,0.454545455,0.03030303
2568,0.515151515,0.393939394,0.090909091
1222,0.514705882,0.441176471,0.044117647
2875,0.514285714,0.485714286,0
586,0.514285714,0.485714286,0
1432,0.514285714,0.457142857,0.028571429
2432,0.514285714,0.428571429,0.057142857
5745,0.513888889,0.416666667,0.069444444
5017,0.512820513,0.41025641,0.076923077
5746,0.512195122,0.475609756,0.012195122
5578,0.511904762,0.476190476,0.011904762
4825,0.510204082,0.428571429,0.06122449
4081,0.509803922,0.431372549,0.058823529
916,0.509090909,0.490909091,0
4533,0.50877193,0.421052632,0.070175439
3880,0.50877193,0.473684211,0.01754386
576,0.50877193,0.49122807,0
5094,0.508474576,0.474576271,0.016949153
4701,0.507936508,0.46031746,0.031746032
3482,0.507042254,0.408450704,0.084507042
5284,0.506849315,0.383561644,0.109589041
96,0.50617284,0.469135802,0.024691358
3506,0.5,0.485294118,0.014705882
3330,0.5,0.416666667,0.083333333
522,0.5,0.465517241,0.034482759
3212,0.5,0.269230769,0.230769231
4501,0.5,0.444444444,0.055555556
3404,0.5,0.423076923,0.076923077
547,0.5,0.474358974,0.025641026
557,0.5,0.465517241,0.034482759
3088,0.5,0.36,0.14
3581,0.5,0.470588235,0.029411765
2678,0.5,0.476190476,0.023809524
3040,0.5,0.416666667,0.083333333
3872,0.5,0.4375,0.0625
2836,0.5,0.5,0
4075,0.5,0.425925926,0.074074074
2817,0.5,0.451219512,0.048780488
4231,0.5,0.44,0.06
3021,0.5,0.5,0
3273,0.5,0.4,0.1
196,0.5,0.375,0.125
5579,0.5,0.5,0
2014,0.5,0.37037037,0.12962963
2401,0.5,0.42,0.08
2135,0.5,0.423076923,0.076923077
2377,0.5,0.416666667,0.083333333
865,0.5,0.452380952,0.047619048
1412,0.5,0.458333333,0.041666667
5608,0.5,0.5,0
5572,0.5,0.471428571,0.028571429
5820,0.5,0.416666667,0.083333333
5563,0.5,0.447368421,0.052631579
1504,0.5,0.428571429,0.071428571
5478,0.5,0.441176471,0.058823529
2256,0.5,0.411764706,0.088235294
1541,0.5,0.423076923,0.076923077
1568,0.5,0.321428571,0.178571429
2227,0.5,0.5,0
160,0.5,0.45,0.05
5351,0.5,0.384615385,0.115384615
763,0.5,0.346153846,0.153846154
5243,0.5,0.5,0
47,0.5,0.409090909,0.090909091
5104,0.5,0.425925926,0.074074074
2449,0.5,0.5,0
1000,0.5,0.464285714,0.035714286
1236,0.5,0.5,0
5932,0.5,0.458333333,0.041666667
43,0.5,0.458333333,0.041666667
2437,0.5,0.476190476,0.023809524
1993,0.5,0.4,0.1
2434,0.5,0.458333333,0.041666667
969,0.5,0.423076923,0.076923077
2431,0.5,0.461538462,0.038461538
2262,0.496240602,0.458646617,0.045112782
3161,0.492957746,0.436619718,0.070422535
3645,0.492753623,0.420289855,0.086956522
3510,0.492537313,0.462686567,0.044776119
5821,0.492063492,0.380952381,0.126984127
1649,0.49122807,0.49122807,0.01754386
3073,0.49122807,0.473684211,0.035087719
3556,0.491071429,0.5,0.008928571
2906,0.490909091,0.4,0.109090909
3534,0.490909091,0.454545455,0.054545455
3456,0.490909091,0.4,0.109090909
3,0.490196078,0.450980392,0.058823529
5739,0.490196078,0.392156863,0.117647059
3753,0.489795918,0.367346939,0.142857143
441,0.489361702,0.489361702,0.021276596
422,0.489361702,0.404255319,0.106382979
142,0.489361702,0.489361702,0.021276596
4669,0.488888889,0.488888889,0.022222222
3861,0.487804878,0.43902439,0.073170732
5674,0.487804878,0.414634146,0.097560976
540,0.487179487,0.461538462,0.051282051
994,0.487179487,0.41025641,0.102564103
3845,0.486486486,0.5,0.013513514
842,0.486486486,0.486486486,0.027027027
3117,0.486486486,0.432432432,0.081081081
1762,0.486486486,0.472972973,0.040540541
3461,0.486486486,0.459459459,0.054054054
4494,0.486486486,0.391891892,0.121621622
626,0.486111111,0.472222222,0.041666667
3606,0.485714286,0.457142857,0.057142857
4805,0.485714286,0.457142857,0.057142857
2604,0.485294118,0.485294118,0.029411765
1971,0.484848485,0.333333333,0.181818182
3354,0.484848485,0.484848485,0.03030303
3862,0.484848485,0.424242424,0.090909091
3566,0.483870968,0.451612903,0.064516129
5510,0.483870968,0.516129032,0
1308,0.483146067,0.494382022,0.02247191
3104,0.482758621,0.413793103,0.103448276
2369,0.482758621,0.413793103,0.103448276
2417,0.482758621,0.482758621,0.034482759
3459,0.482758621,0.413793103,0.103448276
4844,0.482758621,0.413793103,0.103448276
2066,0.482758621,0.448275862,0.068965517
848,0.482142857,0.392857143,0.125
4080,0.481927711,0.469879518,0.048192771
3797,0.481481481,0.407407407,0.111111111
3366,0.481481481,0.407407407,0.111111111
3257,0.481481481,0.407407407,0.111111111
589,0.481481481,0.407407407,0.111111111
2226,0.480769231,0.519230769,0
4340,0.48,0.36,0.16
2706,0.48,0.48,0.04
565,0.48,0.36,0.16
455,0.48,0.52,0
4396,0.48,0.44,0.08
1249,0.48,0.36,0.16
4392,0.48,0.4,0.12
3937,0.479452055,0.397260274,0.123287671
2448,0.479452055,0.452054795,0.068493151
3170,0.479452055,0.520547945,0
538,0.479166667,0.458333333,0.0625
3567,0.47826087,0.507246377,0.014492754
1283,0.47826087,0.5,0.02173913
2690,0.47826087,0.47826087,0.043478261
1520,0.47826087,0.47826087,0.043478261
4427,0.47826087,0.434782609,0.086956522
3027,0.47826087,0.52173913,0
2549,0.47826087,0.391304348,0.130434783
5122,0.47826087,0.391304348,0.130434783
3915,0.47826087,0.52173913,0
5194,0.47826087,0.463768116,0.057971014
2924,0.47826087,0.456521739,0.065217391
5732,0.476190476,0.476190476,0.047619048
1431,0.476190476,0.476190476,0.047619048
4871,0.476190476,0.523809524,0
3324,0.476190476,0.476190476,0.047619048
4992,0.476190476,0.523809524,0
1801,0.476190476,0.380952381,0.142857143
3616,0.476190476,0.523809524,0
2893,0.476190476,0.428571429,0.095238095
535,0.476190476,0.333333333,0.19047619
5116,0.476190476,0.428571429,0.095238095
5363,0.475409836,0.409836066,0.114754098
4857,0.475409836,0.524590164,0
2007,0.475,0.4,0.125
1702,0.475,0.3875,0.1375
2327,0.474576271,0.508474576,0.016949153
1826,0.473684211,0.438596491,0.087719298
4604,0.473684211,0.5,0.026315789
5869,0.473684211,0.5,0.026315789
5617,0.472972973,0.472972973,0.054054054
5730,0.472527473,0.483516484,0.043956044
159,0.472222222,0.5,0.027777778
1536,0.472222222,0.5,0.027777778
4495,0.472222222,0.416666667,0.111111111
3047,0.471428571,0.442857143,0.085714286
4172,0.471428571,0.5,0.028571429
170,0.471264368,0.459770115,0.068965517
3936,0.470588235,0.411764706,0.117647059
3102,0.470588235,0.441176471,0.088235294
2501,0.470588235,0.435294118,0.094117647
5127,0.470588235,0.411764706,0.117647059
747,0.46875,0.34375,0.1875
3743,0.46875,0.34375,0.1875
3748,0.46875,0.4375,0.09375
2420,0.468085106,0.404255319,0.127659574
1742,0.468085106,0.404255319,0.127659574
672,0.468085106,0.489361702,0.042553191
3522,0.467741935,0.467741935,0.064516129
5710,0.467532468,0.480519481,0.051948052
5903,0.467532468,0.467532468,0.064935065
6033,0.466666667,0.45,0.083333333
3165,0.466666667,0.5,0.033333333
974,0.466666667,0.383333333,0.15
5149,0.466666667,0.5,0.033333333
5901,0.466666667,0.4,0.133333333
3977,0.466666667,0.466666667,0.066666667
4097,0.466666667,0.533333333,0
5934,0.466666667,0.5,0.033333333
5819,0.466666667,0.433333333,0.1
2689,0.465346535,0.485148515,0.04950495
532,0.465116279,0.441860465,0.093023256
5231,0.464285714,0.392857143,0.142857143
4822,0.464285714,0.535714286,0
3928,0.464285714,0.464285714,0.071428571
4542,0.464285714,0.392857143,0.142857143
3221,0.463414634,0.536585366,0
3094,0.463414634,0.463414634,0.073170732
292,0.463414634,0.463414634,0.073170732
4894,0.463414634,0.341463415,0.195121951
3784,0.463414634,0.487804878,0.048780488
4848,0.462962963,0.444444444,0.092592593
3035,0.4625,0.4875,0.05
6021,0.462121212,0.5,0.037878788
5884,0.461538462,0.5,0.038461538
168,0.461538462,0.461538462,0.076923077
1210,0.461538462,0.512820513,0.025641026
2300,0.461538462,0.461538462,0.076923077
3288,0.461538462,0.346153846,0.192307692
3723,0.461538462,0.512820513,0.025641026
297,0.460674157,0.494382022,0.04494382
5602,0.460526316,0.473684211,0.065789474
404,0.46,0.48,0.06
266,0.46,0.4,0.14
4910,0.46,0.46,0.08
3472,0.46,0.48,0.06
1180,0.459459459,0.378378378,0.162162162
4046,0.459459459,0.459459459,0.081081081
876,0.459459459,0.495495495,0.045045045
4226,0.459459459,0.513513514,0.027027027
562,0.459459459,0.432432432,0.108108108
5424,0.459259259,0.518518519,0.022222222
3177,0.459016393,0.393442623,0.147540984
4010,0.458333333,0.458333333,0.083333333
1602,0.458333333,0.4,0.141666667
5388,0.458333333,0.458333333,0.083333333
4847,0.458333333,0.486111111,0.055555556
4120,0.458333333,0.4375,0.104166667
1234,0.458333333,0.5,0.041666667
615,0.457446809,0.521276596,0.021276596
1623,0.457142857,0.485714286,0.057142857
5489,0.457142857,0.5,0.042857143
4513,0.457142857,0.4,0.142857143
1663,0.456521739,0.5,0.043478261
5997,0.456140351,0.50877193,0.035087719
5484,0.455696203,0.481012658,0.063291139
3479,0.455555556,0.444444444,0.1
1913,0.454545455,0.5,0.045454545
2337,0.454545455,0.527272727,0.018181818
2516,0.454545455,0.5,0.045454545
1144,0.454545455,0.454545455,0.090909091
3059,0.454545455,0.477272727,0.068181818
1385,0.454545455,0.363636364,0.181818182
2639,0.454545455,0.454545455,0.090909091
946,0.454545455,0.303030303,0.242424242
243,0.454545455,0.454545455,0.090909091
213,0.454545455,0.545454545,0
1344,0.453333333,0.48,0.066666667
3449,0.453125,0.484375,0.0625
5442,0.453125,0.515625,0.03125
3828,0.452380952,0.452380952,0.095238095
3316,0.452380952,0.476190476,0.071428571
3090,0.451612903,0.419354839,0.129032258
4275,0.451612903,0.387096774,0.161290323
661,0.450704225,0.436619718,0.112676056
2082,0.450704225,0.422535211,0.126760563
1063,0.45,0.39,0.16
5115,0.45,0.4,0.15
222,0.45,0.475,0.075
2759,0.45,0.45,0.1
5027,0.45,0.55,0
2530,0.45,0.45,0.1
98,0.45,0.45,0.1
2768,0.45,0.475,0.075
5314,0.45,0.5,0.05
2362,0.448979592,0.428571429,0.12244898
4200,0.448979592,0.510204082,0.040816327
5982,0.448818898,0.511811024,0.039370079
5994,0.448717949,0.512820513,0.038461538
2220,0.448275862,0.413793103,0.137931034
5266,0.448275862,0.517241379,0.034482759
2469,0.448275862,0.431034483,0.120689655
440,0.448275862,0.517241379,0.034482759
2107,0.448275862,0.448275862,0.103448276
1278,0.447761194,0.492537313,0.059701493
5700,0.447368421,0.394736842,0.157894737
4595,0.447368421,0.5,0.052631579
2224,0.447368421,0.526315789,0.026315789
309,0.447154472,0.495934959,0.056910569
3447,0.447058824,0.505882353,0.047058824
3116,0.447058824,0.494117647,0.058823529
4588,0.446808511,0.510638298,0.042553191
4862,0.446808511,0.478723404,0.074468085
5487,0.446808511,0.489361702,0.063829787
1987,0.446808511,0.510638298,0.042553191
4709,0.446428571,0.517857143,0.035714286
5701,0.445378151,0.487394958,0.067226891
120,0.444444444,0.507936508,0.047619048
2396,0.444444444,0.444444444,0.111111111
5372,0.444444444,0.555555556,0
5191,0.444444444,0.5,0.055555556
610,0.444444444,0.531746032,0.023809524
70,0.444444444,0.481481481,0.074074074
2845,0.444444444,0.518518519,0.037037037
2636,0.444444444,0.523809524,0.031746032
5162,0.444444444,0.472222222,0.083333333
894,0.442857143,0.485714286,0.071428571
2421,0.442622951,0.540983607,0.016393443
5181,0.442307692,0.480769231,0.076923077
2284,0.442307692,0.442307692,0.115384615
3006,0.442307692,0.538461538,0.019230769
374,0.442307692,0.557692308,0
2856,0.442307692,0.442307692,0.115384615
4859,0.441860465,0.511627907,0.046511628
3302,0.441860465,0.5,0.058139535
4781,0.441860465,0.395348837,0.162790698
2342,0.441558442,0.454545455,0.103896104
3148,0.441176471,0.450980392,0.107843137
4307,0.441176471,0.558823529,0
143,0.441176471,0.529411765,0.029411765
632,0.441176471,0.558823529,0
3443,0.44,0.52,0.04
1036,0.44,0.54,0.02
5110,0.44,0.52,0.04
4019,0.44,0.44,0.12
2538,0.44,0.36,0.2
527,0.44,0.4,0.16
3944,0.44,0.52,0.04
2618,0.44,0.48,0.08
14,0.44,0.48,0.08
607,0.44,0.48,0.08
5471,0.44,0.48,0.08
4707,0.43902439,0.463414634,0.097560976
3284,0.43902439,0.463414634,0.097560976
5560,0.43902439,0.524390244,0.036585366
2000,0.43877551,0.510204082,0.051020408
122,0.438596491,0.561403509,0
4290,0.438596491,0.473684211,0.087719298
985,0.438356164,0.506849315,0.054794521
350,0.4375,0.5,0.0625
2474,0.4375,0.4375,0.125
3373,0.4375,0.5,0.0625
3655,0.4375,0.53125,0.03125
2394,0.436619718,0.535211268,0.028169014
2789,0.436170213,0.521276596,0.042553191
3033,0.436090226,0.541353383,0.022556391
1815,0.435897436,0.487179487,0.076923077
371,0.435897436,0.474358974,0.08974359
5864,0.435897436,0.487179487,0.076923077
3750,0.435897436,0.41025641,0.153846154
1684,0.435483871,0.483870968,0.080645161
3500,0.435483871,0.548387097,0.016129032
3431,0.435483871,0.516129032,0.048387097
244,0.435294118,0.517647059,0.047058824
1918,0.434782609,0.47826087,0.086956522
478,0.434782609,0.52173913,0.043478261
2671,0.434782609,0.47826087,0.086956522
1336,0.434782609,0.52173913,0.043478261
579,0.434782609,0.47826087,0.086956522
5435,0.434782609,0.52173913,0.043478261
4582,0.434782609,0.434782609,0.130434783
1859,0.434782609,0.47826087,0.086956522
395,0.434782609,0.52173913,0.043478261
3636,0.434782609,0.391304348,0.173913043
2722,0.434782609,0.434782609,0.130434783
4926,0.434782609,0.47826087,0.086956522
3236,0.434782609,0.47826087,0.086956522
1397,0.433962264,0.433962264,0.132075472
3966,0.433962264,0.452830189,0.113207547
730,0.433962264,0.41509434,0.150943396
4039,0.433962264,0.547169811,0.018867925
3000,0.433962264,0.528301887,0.037735849
182,0.43373494,0.493975904,0.072289157
1972,0.43373494,0.518072289,0.048192771
3339,0.43373494,0.469879518,0.096385542
5834,0.433333333,0.5,0.066666667
5473,0.433333333,0.55,0.016666667
3164,0.433333333,0.466666667,0.1
3119,0.433333333,0.511111111,0.055555556
4441,0.433333333,0.533333333,0.033333333
2573,0.432989691,0.525773196,0.041237113
2461,0.432692308,0.490384615,0.076923077
4850,0.432432432,0.459459459,0.108108108
1326,0.432432432,0.513513514,0.054054054
4638,0.432432432,0.513513514,0.054054054
4667,0.432432432,0.459459459,0.108108108
5396,0.432098765,0.530864198,0.037037037
804,0.431818182,0.431818182,0.136363636
616,0.431818182,0.522727273,0.045454545
4066,0.431578947,0.547368421,0.021052632
1217,0.431372549,0.529411765,0.039215686
385,0.430656934,0.430656934,0.138686131
1895,0.430232558,0.534883721,0.034883721
2619,0.430107527,0.52688172,0.043010753
4915,0.429906542,0.523364486,0.046728972
226,0.428571429,0.476190476,0.095238095
5022,0.428571429,0.428571429,0.142857143
1665,0.428571429,0.46031746,0.111111111
1534,0.428571429,0.476190476,0.095238095
89,0.428571429,0.523809524,0.047619048
2207,0.428571429,0.523809524,0.047619048
680,0.428571429,0.571428571,0
5496,0.428571429,0.464285714,0.107142857
2277,0.428571429,0.464285714,0.107142857
5130,0.428571429,0.464285714,0.107142857
640,0.428571429,0.428571429,0.142857143
5926,0.428571429,0.53968254,0.031746032
5859,0.428571429,0.514285714,0.057142857
4943,0.428571429,0.285714286,0.285714286
5804,0.428571429,0.523809524,0.047619048
1823,0.428571429,0.464285714,0.107142857
5304,0.428571429,0.457142857,0.114285714
227,0.428571429,0.535714286,0.035714286
833,0.428571429,0.571428571,0
559,0.428571429,0.380952381,0.19047619
5923,0.428571429,0.542857143,0.028571429
907,0.428571429,0.571428571,0
1610,0.428571429,0.5,0.071428571
1129,0.427184466,0.54368932,0.029126214
5562,0.426666667,0.453333333,0.12
5920,0.426573427,0.531468531,0.041958042
3270,0.426229508,0.5,0.073770492
3857,0.425925926,0.481481481,0.092592593
2783,0.425925926,0.537037037,0.037037037
2987,0.425925926,0.481481481,0.092592593
4599,0.425531915,0.340425532,0.234042553
3809,0.425531915,0.510638298,0.063829787
1519,0.425287356,0.494252874,0.08045977
988,0.424657534,0.493150685,0.082191781
1025,0.424242424,0.515151515,0.060606061
3355,0.424242424,0.303030303,0.272727273
1876,0.424242424,0.515151515,0.060606061
5175,0.424242424,0.545454545,0.03030303
4676,0.424242424,0.545454545,0.03030303
5402,0.423913043,0.467391304,0.108695652
4002,0.423728814,0.508474576,0.06779661
5460,0.423529412,0.505882353,0.070588235
3452,0.423529412,0.529411765,0.047058824
1166,0.423076923,0.576923077,0
3870,0.423076923,0.461538462,0.115384615
468,0.423076923,0.423076923,0.153846154
1898,0.423076923,0.461538462,0.115384615
4564,0.423076923,0.461538462,0.115384615
4163,0.423076923,0.346153846,0.230769231
1784,0.423076923,0.480769231,0.096153846
3368,0.422680412,0.505154639,0.072164948
3777,0.422413793,0.534482759,0.043103448
2749,0.422222222,0.511111111,0.066666667
2154,0.422222222,0.555555556,0.022222222
5849,0.422222222,0.466666667,0.111111111
4475,0.422222222,0.466666667,0.111111111
944,0.422222222,0.488888889,0.088888889
3091,0.421875,0.5,0.078125
100,0.421052632,0.552631579,0.026315789
4949,0.421052632,0.473684211,0.105263158
4263,0.421052632,0.526315789,0.052631579
755,0.420634921,0.5,0.079365079
3357,0.420289855,0.463768116,0.115942029
1528,0.420289855,0.507246377,0.072463768
2239,0.420168067,0.504201681,0.075630252
523,0.42,0.53,0.05
1280,0.42,0.52,0.06
3192,0.42,0.553333333,0.026666667
1187,0.419354839,0.516129032,0.064516129
5611,0.419354839,0.483870968,0.096774194
863,0.419354839,0.403225806,0.177419355
5790,0.419354839,0.47311828,0.107526882
