,H_ratio,M_raio,T_ratio
1583,0.153846154,0.634615385,0.211538462
3325,0.153846154,0.692307692,0.153846154
4556,0.153846154,0.547511312,0.298642534
1666,0.153652393,0.654911839,0.191435768
2258,0.153631285,0.600558659,0.245810056
4653,0.153465347,0.591584158,0.254950495
2168,0.153424658,0.610958904,0.235616438
1757,0.153246753,0.698701299,0.148051948
5840,0.153191489,0.689361702,0.157446809
4156,0.153061224,0.617346939,0.229591837
1041,0.152941176,0.529411765,0.317647059
1705,0.152941176,0.552941176,0.294117647
3020,0.152941176,0.647058824,0.2
931,0.152866242,0.598726115,0.248407643
1281,0.152777778,0.555555556,0.291666667
1608,0.152777778,0.604166667,0.243055556
3475,0.152733119,0.694533762,0.152733119
4663,0.152671756,0.600508906,0.246819338
4134,0.152542373,0.652542373,0.194915254
5747,0.15248227,0.60106383,0.246453901
780,0.15234375,0.673828125,0.173828125
5996,0.152284264,0.673434856,0.17428088
4175,0.152173913,0.608695652,0.239130435
3879,0.152173913,0.652173913,0.195652174
4472,0.152129817,0.685598377,0.162271805
667,0.152046784,0.502923977,0.34502924
3547,0.151933702,0.571823204,0.276243094
493,0.151898734,0.582278481,0.265822785
4490,0.151832461,0.693717277,0.154450262
4261,0.151624549,0.703971119,0.144404332
6017,0.151515152,0.454545455,0.393939394
4649,0.151515152,0.575757576,0.272727273
2869,0.151515152,0.636363636,0.212121212
3955,0.151315789,0.638157895,0.210526316
2383,0.151315789,0.671052632,0.177631579
4112,0.151234568,0.645061728,0.203703704
218,0.151162791,0.674418605,0.174418605
5328,0.150943396,0.547169811,0.301886792
2996,0.150943396,0.631027254,0.21802935
5652,0.150943396,0.537735849,0.311320755
4411,0.150819672,0.608196721,0.240983607
136,0.150793651,0.658730159,0.19047619
2858,0.150684932,0.643835616,0.205479452
517,0.15060241,0.56626506,0.28313253
3716,0.150510204,0.591836735,0.257653061
117,0.15049505,0.572277228,0.277227723
4352,0.150423729,0.61440678,0.235169492
4845,0.150326797,0.503267974,0.346405229
2457,0.150300601,0.629258517,0.220440882
2978,0.150289017,0.647398844,0.202312139
601,0.150134048,0.624664879,0.225201072
5430,0.15,0.542857143,0.307142857
2819,0.15,0.65,0.2
2111,0.15,0.5,0.35
2381,0.15,0.6,0.25
3908,0.15,0.49375,0.35625
2133,0.15,0.6,0.25
5725,0.15,0.65,0.2
6035,0.15,0.592857143,0.257142857
5881,0.15,0.582142857,0.267857143
4991,0.15,0.55,0.3
1295,0.15,0.5,0.35
2217,0.15,0.475,0.375
1810,0.15,0.575,0.275
5012,0.15,0.75,0.1
5514,0.15,0.65,0.2
1452,0.15,0.5,0.35
4948,0.149901381,0.619329389,0.230769231
1297,0.149897331,0.587268994,0.262833676
2537,0.149819495,0.637184116,0.21299639
3720,0.149758454,0.628019324,0.222222222
1600,0.149746193,0.64213198,0.208121827
225,0.149606299,0.507874016,0.342519685
4289,0.149350649,0.662337662,0.188311688
5759,0.149305556,0.640625,0.210069444
5195,0.149253731,0.611940299,0.23880597
1053,0.149253731,0.605970149,0.244776119
1303,0.149187592,0.664697194,0.186115214
3868,0.149090909,0.567272727,0.283636364
3180,0.148979592,0.571428571,0.279591837
4371,0.14893617,0.631205674,0.219858156
279,0.14893617,0.659574468,0.191489362
3312,0.14887218,0.643609023,0.207518797
2073,0.148837209,0.610852713,0.240310078
3546,0.148780488,0.546341463,0.304878049
4335,0.148760331,0.654958678,0.196280992
3569,0.148741419,0.640732265,0.210526316
3025,0.148648649,0.614864865,0.236486486
5312,0.148611111,0.655555556,0.195833333
3189,0.148571429,0.63047619,0.220952381
1683,0.148571429,0.537142857,0.314285714
2994,0.148541114,0.644562334,0.206896552
4373,0.148514851,0.627062706,0.224422442
5550,0.14849921,0.68878357,0.16271722
5675,0.148464164,0.614334471,0.237201365
4802,0.1484375,0.6203125,0.23125
4124,0.148387097,0.612903226,0.238709677
4268,0.148387097,0.590322581,0.261290323
3681,0.148203593,0.661676647,0.19011976
2188,0.148148148,0.538271605,0.313580247
4790,0.148148148,0.552910053,0.298941799
1838,0.148148148,0.777777778,0.074074074
1080,0.148148148,0.537037037,0.314814815
504,0.148148148,0.546296296,0.305555556
4119,0.148148148,0.518518519,0.333333333
4260,0.148148148,0.595679012,0.25617284
4730,0.148148148,0.37037037,0.481481481
3052,0.148148148,0.679012346,0.172839506
2752,0.148148148,0.648148148,0.203703704
999,0.148058252,0.621359223,0.230582524
2540,0.147982063,0.618834081,0.233183857
2681,0.147982063,0.596412556,0.255605381
2235,0.147887324,0.528169014,0.323943662
4243,0.147887324,0.584507042,0.267605634
146,0.147887324,0.657276995,0.194835681
438,0.147840532,0.609634551,0.242524917
2038,0.147727273,0.652272727,0.2
1614,0.147540984,0.573770492,0.278688525
5432,0.147540984,0.633879781,0.218579235
3196,0.147540984,0.567213115,0.285245902
692,0.147385103,0.690966719,0.161648177
2205,0.147347741,0.614931238,0.237721022
1244,0.14732965,0.651933702,0.200736648
3586,0.147239264,0.607361963,0.245398773
4407,0.147186147,0.597402597,0.255411255
2102,0.147169811,0.683018868,0.169811321
1441,0.147058824,0.68627451,0.166666667
2159,0.147058824,0.411764706,0.441176471
1731,0.147058824,0.411764706,0.441176471
3080,0.147005445,0.649727768,0.203266788
2887,0.146959459,0.689189189,0.163851351
4186,0.146875,0.6125,0.240625
2910,0.146853147,0.433566434,0.41958042
4024,0.146825397,0.603174603,0.25
1755,0.14673913,0.600543478,0.252717391
5011,0.146690519,0.651162791,0.202146691
5365,0.146666667,0.633333333,0.22
3901,0.146666667,0.72,0.133333333
4593,0.146666667,0.58,0.273333333
5082,0.146551724,0.560344828,0.293103448
4613,0.146341463,0.585365854,0.268292683
3458,0.146341463,0.591463415,0.262195122
1487,0.146341463,0.609756098,0.243902439
904,0.146341463,0.617886179,0.235772358
2588,0.146341463,0.756097561,0.097560976
2702,0.146341463,0.634146341,0.219512195
6002,0.146268657,0.632835821,0.220895522
5184,0.146179402,0.581395349,0.272425249
3997,0.146031746,0.577777778,0.276190476
1141,0.145922747,0.572961373,0.28111588
5036,0.145833333,0.583333333,0.270833333
5928,0.145833333,0.395833333,0.458333333
2520,0.145833333,0.604166667,0.25
1112,0.145802651,0.653902798,0.200294551
2288,0.145794393,0.672897196,0.181308411
5163,0.145708583,0.638722555,0.215568862
1016,0.145695364,0.695364238,0.158940397
4249,0.145631068,0.660194175,0.194174757
2378,0.14559387,0.540229885,0.314176245
1274,0.145516074,0.529610829,0.324873096
4553,0.145454545,0.4,0.454545455
587,0.145454545,0.618181818,0.236363636
4089,0.145299145,0.670940171,0.183760684
4345,0.14527027,0.616554054,0.238175676
3942,0.145214521,0.645214521,0.209570957
2528,0.14516129,0.709677419,0.14516129
4584,0.14516129,0.596774194,0.258064516
3648,0.145135566,0.598086124,0.256778309
5447,0.145038168,0.687022901,0.167938931
1264,0.144866385,0.717299578,0.137834037
1851,0.14484127,0.581349206,0.273809524
1983,0.144688645,0.664835165,0.19047619
5289,0.144680851,0.555319149,0.3
3416,0.144680851,0.587234043,0.268085106
2526,0.144486692,0.63878327,0.216730038
4467,0.144444444,0.605555556,0.25
5306,0.144444444,0.66031746,0.195238095
3884,0.144393241,0.596006144,0.259600614
935,0.144329897,0.636597938,0.219072165
4813,0.144230769,0.663461538,0.192307692
4049,0.144,0.594666667,0.261333333
5317,0.143646409,0.58747698,0.268876611
5107,0.143564356,0.633663366,0.222772277
1004,0.143451143,0.673596674,0.182952183
2643,0.143171806,0.654185022,0.202643172
1318,0.142857143,0.380952381,0.476190476
2234,0.142857143,0.80952381,0.047619048
647,0.142857143,0.558441558,0.298701299
1258,0.142857143,0.357142857,0.5
1305,0.142857143,0.238095238,0.619047619
995,0.142857143,0.714285714,0.142857143
2373,0.142857143,0.523809524,0.333333333
4972,0.142857143,0.495440729,0.361702128
874,0.142857143,0.642857143,0.214285714
114,0.142857143,0.632653061,0.224489796
94,0.142857143,0.571428571,0.285714286
5780,0.142857143,0.621621622,0.235521236
967,0.142857143,0.637362637,0.21978022
4025,0.142857143,0.535714286,0.321428571
821,0.142857143,0.380952381,0.476190476
2361,0.142857143,0.530612245,0.326530612
16,0.142857143,0.571428571,0.285714286
1706,0.142857143,0.547619048,0.30952381
886,0.142857143,0.457142857,0.4
3683,0.142614601,0.60950764,0.247877759
1748,0.142614601,0.570458404,0.286926995
4422,0.142538976,0.53674833,0.320712695
3483,0.142208775,0.636913767,0.220877458
5005,0.142191142,0.645687646,0.212121212
3365,0.142028986,0.695652174,0.162318841
1119,0.141772152,0.665822785,0.192405063
1054,0.141732283,0.590551181,0.267716535
5986,0.141666667,0.658333333,0.2
4375,0.141538462,0.587692308,0.270769231
593,0.141509434,0.566037736,0.29245283
1120,0.141496599,0.629931973,0.228571429
123,0.141447368,0.587171053,0.271381579
2581,0.141439206,0.665012407,0.193548387
4150,0.141439206,0.699751861,0.158808933
3967,0.141255605,0.688340807,0.170403587
4916,0.141176471,0.6,0.258823529
4754,0.141129032,0.576612903,0.282258065
2785,0.141104294,0.687116564,0.171779141
333,0.140969163,0.612334802,0.246696035
1152,0.140939597,0.577181208,0.281879195
3410,0.140902873,0.642954856,0.216142271
3895,0.14084507,0.647887324,0.211267606
3768,0.14084507,0.702816901,0.156338028
4250,0.140672783,0.599388379,0.259938838
1117,0.140583554,0.684350133,0.175066313
3182,0.14057508,0.630990415,0.228434505
3562,0.140556369,0.590043924,0.269399707
4033,0.140483384,0.673716012,0.185800604
2967,0.140417457,0.567362429,0.292220114
4728,0.140401146,0.660458453,0.199140401
3285,0.140350877,0.657097289,0.202551834
2926,0.140350877,0.631578947,0.228070175
4390,0.14028777,0.64028777,0.21942446
2592,0.140271493,0.671945701,0.187782805
4609,0.140151515,0.606060606,0.253787879
1224,0.140138408,0.565743945,0.294117647
5227,0.140127389,0.579617834,0.280254777
4828,0.14,0.62,0.24
4168,0.14,0.52,0.34
4420,0.14,0.58,0.28
4493,0.14,0.32,0.54
4198,0.14,0.62,0.24
3217,0.14,0.62,0.24
4287,0.139931741,0.692832765,0.167235495
4852,0.139917695,0.604938272,0.255144033
5054,0.13986014,0.562237762,0.297902098
2693,0.139705882,0.625,0.235294118
2376,0.139676113,0.663967611,0.196356275
5539,0.139583333,0.5875,0.272916667
5288,0.139534884,0.488372093,0.372093023
4473,0.139479905,0.6643026,0.196217494
1033,0.139175258,0.639175258,0.221649485
5761,0.139013453,0.542600897,0.31838565
5927,0.138888889,0.527777778,0.333333333
1178,0.138888889,0.666666667,0.194444444
1422,0.138736264,0.642857143,0.218406593
4580,0.138686131,0.583941606,0.277372263
2144,0.138613861,0.465346535,0.396039604
1884,0.138613861,0.608203678,0.253182461
1579,0.138562092,0.687581699,0.173856209
5599,0.138528139,0.571428571,0.29004329
594,0.13836478,0.729559748,0.132075472
4086,0.13836478,0.588050314,0.273584906
854,0.138339921,0.644268775,0.217391304
5182,0.138157895,0.595394737,0.266447368
5682,0.138157895,0.590460526,0.271381579
1322,0.138020833,0.638020833,0.223958333
2164,0.138004246,0.626326964,0.23566879
1535,0.137931034,0.655172414,0.206896552
4196,0.137931034,0.413793103,0.448275862
2628,0.137931034,0.566502463,0.295566502
2442,0.137931034,0.620689655,0.24137931
221,0.137931034,0.517241379,0.344827586
4282,0.137931034,0.448275862,0.413793103
1294,0.137931034,0.590038314,0.272030651
1923,0.137931034,0.448275862,0.413793103
4028,0.137802607,0.612662942,0.249534451
702,0.137787056,0.680584551,0.181628392
3320,0.137745975,0.60822898,0.254025045
5142,0.137614679,0.623853211,0.23853211
5108,0.137466307,0.652291105,0.210242588
2030,0.137457045,0.572164948,0.290378007
3518,0.137450199,0.587649402,0.274900398
877,0.137440758,0.679304897,0.183254344
5113,0.137362637,0.646520147,0.216117216
2245,0.137254902,0.529411765,0.333333333
1092,0.137254902,0.764705882,0.098039216
5532,0.137254902,0.529411765,0.333333333
4740,0.137254902,0.62745098,0.235294118
3836,0.137254902,0.637254902,0.225490196
1022,0.136986301,0.602739726,0.260273973
839,0.136950904,0.661498708,0.201550388
2180,0.136919315,0.643031785,0.2200489
984,0.136887608,0.685878963,0.177233429
1630,0.136752137,0.538461538,0.324786325
1988,0.13672496,0.647058824,0.216216216
4257,0.136690647,0.64028777,0.223021583
5015,0.136645963,0.667701863,0.195652174
2072,0.136585366,0.565853659,0.297560976
3336,0.136431784,0.647676162,0.215892054
3570,0.136363636,0.454545455,0.409090909
3623,0.136363636,0.681818182,0.181818182
5772,0.136363636,0.636363636,0.227272727
2419,0.136363636,0.630681818,0.232954545
5504,0.136286201,0.659284497,0.204429302
5722,0.136239782,0.51226158,0.351498638
5178,0.136029412,0.694852941,0.169117647
3031,0.136,0.634,0.23
5900,0.136,0.648,0.216
1314,0.135964912,0.600877193,0.263157895
1701,0.135869565,0.617753623,0.246376812
2860,0.135826772,0.598425197,0.265748031
4717,0.135802469,0.691358025,0.172839506
635,0.13559322,0.576271186,0.288135593
3301,0.135483871,0.564516129,0.3
3261,0.135435993,0.580705009,0.283858998
5074,0.135348226,0.601839685,0.262812089
3029,0.135348226,0.667542707,0.197109067
5978,0.135338346,0.636591479,0.228070175
1943,0.135294118,0.622058824,0.242647059
4418,0.135220126,0.525157233,0.339622642
2334,0.135135135,0.630630631,0.234234234
1642,0.135135135,0.648648649,0.216216216
1277,0.135135135,0.621621622,0.243243243
5749,0.135135135,0.525798526,0.339066339
1323,0.135135135,0.648648649,0.216216216
749,0.135076253,0.620915033,0.244008715
5880,0.135026738,0.644385027,0.220588235
4286,0.135,0.555,0.31
3635,0.134969325,0.576687117,0.288343558
6007,0.134969325,0.634969325,0.23006135
2649,0.134883721,0.753488372,0.111627907
5273,0.134868421,0.598684211,0.266447368
566,0.134831461,0.676029963,0.189138577
4279,0.134693878,0.593877551,0.271428571
2301,0.134615385,0.615384615,0.25
1970,0.134615385,0.346153846,0.519230769
476,0.134570766,0.591647332,0.273781903
4771,0.134502924,0.520467836,0.34502924
1356,0.134490239,0.572668113,0.292841649
1125,0.134482759,0.613793103,0.251724138
2544,0.134430727,0.572016461,0.293552812
4816,0.134408602,0.577956989,0.287634409
1977,0.134328358,0.626865672,0.23880597
163,0.134241245,0.548638132,0.317120623
1727,0.134241245,0.655642023,0.210116732
268,0.134099617,0.632183908,0.233716475
5536,0.134069401,0.638801262,0.227129338
552,0.134020619,0.556701031,0.309278351
3364,0.133928571,0.526785714,0.339285714
5448,0.133903134,0.632478632,0.233618234
3885,0.133898305,0.598305085,0.26779661
3650,0.133757962,0.677707006,0.188535032
4577,0.13372093,0.604651163,0.261627907
4224,0.133531157,0.62611276,0.240356083
112,0.133333333,0.7,0.166666667
3289,0.133333333,0.506666667,0.36
2738,0.133333333,0.561904762,0.304761905
1569,0.133333333,0.555555556,0.311111111
1473,0.133333333,0.679166667,0.1875
5001,0.133333333,0.613333333,0.253333333
1920,0.133111481,0.680532446,0.186356073
1611,0.133093525,0.616906475,0.25
5556,0.133093525,0.661870504,0.205035971
5763,0.132939439,0.614475628,0.252584934
3709,0.132930514,0.625377644,0.241691843
1071,0.132867133,0.636363636,0.230769231
3850,0.1328125,0.627604167,0.239583333
5387,0.132694938,0.59370725,0.273597811
1300,0.13253012,0.506024096,0.361445783
1404,0.13253012,0.644578313,0.222891566
62,0.13253012,0.602409639,0.265060241
26,0.1325,0.6125,0.255
5575,0.132352941,0.661764706,0.205882353
3929,0.132352941,0.666666667,0.200980392
2946,0.132321041,0.659436009,0.20824295
2810,0.132169576,0.578553616,0.289276808
5463,0.132142857,0.528571429,0.339285714
1298,0.131921824,0.609120521,0.258957655
5501,0.131907308,0.668449198,0.199643494
5744,0.131818182,0.604545455,0.263636364
1170,0.131782946,0.643410853,0.224806202
2199,0.131782946,0.519379845,0.348837209
4181,0.131782946,0.643410853,0.224806202
1587,0.131768953,0.626353791,0.241877256
1865,0.131736527,0.538922156,0.329341317
3575,0.131578947,0.657894737,0.210526316
2077,0.131578947,0.589181287,0.279239766
4662,0.131428571,0.611428571,0.257142857
1317,0.131414268,0.655819775,0.212765957
4454,0.13125,0.5875,0.28125
5483,0.131221719,0.683257919,0.185520362
2003,0.131147541,0.62295082,0.245901639
970,0.131147541,0.624772313,0.244080146
4704,0.131097561,0.615853659,0.25304878
1207,0.131067961,0.608414239,0.260517799
655,0.131067961,0.560679612,0.308252427
1501,0.13099631,0.551660517,0.317343173
2231,0.130733945,0.55733945,0.311926606
4387,0.130551817,0.585464334,0.283983849
5940,0.130434783,0.782608696,0.086956522
172,0.130434783,0.782608696,0.086956522
4888,0.130434783,0.578595318,0.2909699
770,0.130434783,0.628458498,0.241106719
2744,0.130434783,0.463768116,0.405797101
1896,0.130434783,0.632850242,0.236714976
5391,0.130434783,0.782608696,0.086956522
580,0.130434783,0.52173913,0.347826087
5789,0.130434783,0.586956522,0.282608696
6000,0.130434783,0.616600791,0.252964427
1214,0.130434783,0.391304348,0.47826087
331,0.130136986,0.592465753,0.27739726
509,0.130013831,0.656984786,0.213001383
2203,0.12987013,0.649350649,0.220779221
148,0.129807692,0.623397436,0.246794872
1899,0.12962963,0.644179894,0.226190476
329,0.129581152,0.651832461,0.218586387
2793,0.129277567,0.693282636,0.177439797
1451,0.129161119,0.635153129,0.235685752
2496,0.129158513,0.62035225,0.250489237
411,0.129133858,0.62992126,0.240944882
992,0.129032258,0.580645161,0.290322581
3722,0.129032258,0.677419355,0.193548387
339,0.129032258,0.677419355,0.193548387
3766,0.129032258,0.717741935,0.153225806
1812,0.128939828,0.638968481,0.232091691
2916,0.128755365,0.497854077,0.373390558
5893,0.128378378,0.72972973,0.141891892
1613,0.128301887,0.664150943,0.20754717
4017,0.128205128,0.641025641,0.230769231
4854,0.12804878,0.597560976,0.274390244
1758,0.127906977,0.590697674,0.281395349
4568,0.127868852,0.550819672,0.321311475
800,0.127819549,0.567669173,0.304511278
4579,0.127721335,0.554426705,0.317851959
4928,0.127659574,0.577507599,0.294832827
3856,0.127659574,0.531914894,0.340425532
365,0.127659574,0.638297872,0.234042553
2018,0.127516779,0.55033557,0.322147651
1952,0.12749004,0.609561753,0.262948207
1254,0.127272727,0.581818182,0.290909091
5334,0.127272727,0.236363636,0.636363636
3444,0.127272727,0.636363636,0.236363636
1169,0.127118644,0.644067797,0.228813559
4732,0.127007299,0.611678832,0.261313869
855,0.126984127,0.549206349,0.323809524
302,0.126903553,0.624365482,0.248730964
202,0.126865672,0.646268657,0.226865672
4506,0.126865672,0.630597015,0.242537313
543,0.126676602,0.602086438,0.27123696
5282,0.126666667,0.613333333,0.26
570,0.126582278,0.641350211,0.232067511
934,0.126506024,0.590361446,0.28313253
5220,0.126388889,0.555555556,0.318055556
35,0.126262626,0.611111111,0.262626263
2092,0.126200274,0.613168724,0.260631001
293,0.126182965,0.567823344,0.305993691
1635,0.126103405,0.633039092,0.240857503
4386,0.126002291,0.695303551,0.178694158
4053,0.126,0.638,0.236
4326,0.125984252,0.503937008,0.37007874
2251,0.12590799,0.636803874,0.237288136
528,0.125862069,0.593103448,0.281034483
5151,0.125786164,0.572327044,0.301886792
1140,0.125668449,0.497326203,0.377005348
1496,0.125628141,0.569514238,0.304857621
1340,0.125465839,0.633540373,0.240993789
2737,0.125313283,0.573934837,0.30075188
1908,0.125,0.567307692,0.307692308
3246,0.125,0.564655172,0.310344828
4073,0.125,0.791666667,0.083333333
5059,0.125,0.639705882,0.235294118
5551,0.125,0.53125,0.34375
4957,0.125,0.630376344,0.244623656
5636,0.125,0.622641509,0.252358491
5033,0.125,0.6875,0.1875
2238,0.125,0.647727273,0.227272727
3772,0.125,0.479166667,0.395833333
3779,0.125,0.553571429,0.321428571
4544,0.125,0.4375,0.4375
1576,0.125,0.75,0.125
4997,0.125,0.392857143,0.482142857
3838,0.125,0.5,0.375
67,0.125,0.75,0.125
1065,0.125,0.613636364,0.261363636
5802,0.125,0.525,0.35
3471,0.125,0.654126214,0.220873786
2402,0.124763705,0.648393195,0.2268431
1017,0.124760077,0.408829175,0.466410749
3163,0.124708625,0.667832168,0.207459207
1034,0.12462908,0.590504451,0.284866469
5185,0.12455516,0.526690391,0.348754448
1778,0.124542125,0.565934066,0.30952381
5974,0.124463519,0.600858369,0.274678112
4488,0.124277457,0.589595376,0.286127168
3792,0.124238733,0.599269184,0.276492083
4619,0.124183007,0.640522876,0.235294118
5433,0.124137931,0.608275862,0.267586207
1837,0.124040921,0.618925831,0.257033248
2453,0.124006359,0.615262321,0.26073132
